Symbol,Signal,RSI,Entry Time,Logged At,Reason,Outcome,RSI_Value,ADX_Value,Stochastic_Value,MACD_Value,Signal_Value,ATR_Value,Entry_Price,Exit_Price,Breakeven_Probability
AUDUSD,SELL (Adaptive),48.12,09:03:38,2025-08-01 08:02:09,Цена выше Bollinger; Пред. EMA12 < EMA26; ,PENDING,48.12401707849804,17.977912650807205,51.40739506995337,-0.0001418957202142801,-0.0001571634604146185,0.00022748309160446515,0.6432356834411621,0.0,44.44
EURJPY,SELL (Adaptive),41.11,09:09:26,2025-08-01 08:07:58,MACD медвежий; Цена выше Bollinger; Пред. EMA12 < EMA26; ,PENDING,41.10770495887855,27.03981473320875,24.581770252458686,-0.04168861763949394,-0.02739485111938172,0.06841916834119603,171.8979949951172,0.0,40.76
EURUSD,BUY (Adaptive),33.35,09:09:28,2025-08-01 08:08:00,RSI перепродан; Stochastic перепродан; Цена ниже Bollinger; ,PENDING,33.35410917667116,20.75897954469674,0.0,-0.00029404244726438655,-0.00015259072664489066,0.0003053933949436439,1.1416828632354736,0.0,32.38
CHFJPY,BUY (Adaptive),26.1,09:09:30,2025-08-01 08:08:01,RSI перепродан; Stochastic перепродан; Цена ниже Bollinger; ,PENDING,26.099747931155036,29.252509454971037,0.20181634712411706,-0.092702496513283,-0.05197217715860983,0.08296483514443101,184.61500549316406,0.0,26.05
USDCAD,BUY (Adaptive),58.51,09:09:31,2025-08-01 08:08:02,Цена ниже Bollinger; Пред. EMA12 > EMA26; ,PENDING,58.51175866141477,23.286586896798646,80.56497175141243,0.00041550793968903044,0.00039804041684187575,0.000713463338665783,1.3869999647140503,0.0,39.96
CADJPY,SELL (Adaptive),45.72,09:09:32,2025-08-01 08:08:04,Цена выше Bollinger; Пред. EMA12 < EMA26; ,PENDING,45.7205222925235,33.98154398651224,48.259631808692355,-0.029219439200701913,-0.03179404514658439,0.051508615793913505,108.55500030517578,0.0,34.59
GBPUSD,BUY (Adaptive),30.28,09:09:34,2025-08-01 08:08:05,RSI перепродан; Stochastic перепродан; Цена ниже Bollinger; ,PENDING,30.283964236661006,20.66514858194762,0.0,-0.00039503452447586795,-0.00020589915370133313,0.0003809771679651402,1.3183046579360962,0.0,28.33
AUDUSD,SELL (Adaptive),43.71,09:09:35,2025-08-01 08:08:07,Цена выше Bollinger; Пред. EMA12 < EMA26; ,PENDING,43.70620266413976,18.255437817444946,29.62807840509298,-0.00014111921691295493,-0.00015454229443650182,0.00021962938765680015,0.6430785655975342,0.0,45.22
EURUSD,WAIT,36.31,09:12:58,2025-08-01 08:12:58,"RSI: 36.31, ADX: 22.53, Stochastic: 7.68, MACD: -0.0003, Signal: -0.0002, ATR: 0.0003, BB_Width: 0.0021, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=43.00, RSI_SELL=65.05, MIN_ADX=25.00, BB_WIDTH_MIN=0.0010, MIN_ATR=0.0001; ADX слишком низкий (< 25)",PENDING,36.30701446488765,22.533337742158587,7.678257815244117,-0.0003168827718249556,-0.00018901733812746226,0.0002909865007792875,1.1418131589889526,0.0,0.0
USDCAD,WAIT,57.23,09:13:14,2025-08-01 08:13:14,"RSI: 57.23, ADX: 23.59, Stochastic: 75.82, MACD: 0.0004, Signal: 0.0004, ATR: 0.0007, BB_Width: 0.0015, Trend H1: BULLISH; Адаптивные пороги: RSI_BUY=46.74, RSI_SELL=62.13, MIN_ADX=25.00, BB_WIDTH_MIN=0.0010, MIN_ATR=0.0004; ADX слишком низкий (< 25)",PENDING,57.23140702530889,23.594881423555897,75.82485875706215,0.00037440574661418147,0.0003904319064126935,0.0006853363326738115,1.3868999481201172,0.0,0.0
GBPUSD,WAIT,30.6,09:13:30,2025-08-01 08:13:30,"RSI: 30.60, ADX: 22.54, Stochastic: 0.00, MACD: -0.0005, Signal: -0.0003, ATR: 0.0004, BB_Width: 0.0024, Trend H1: BEARISH; Адаптивные пороги: RSI_BUY=40.69, RSI_SELL=57.83, MIN_ADX=25.00, BB_WIDTH_MIN=0.0010, MIN_ATR=0.0001; ADX слишком низкий (< 25)",PENDING,30.601869693045685,22.5413711135612,0.0,-0.0004581067651181492,-0.0002619546857031957,0.0003604483138383982,1.3183046579360962,0.0,0.0
